[-12.108639945326672, -77.035639908647]
[-12.10932994359608, -77.03470993648968]
[-12.110059965453132, -77.03528988037039]
[-12.111599972523564, -77.0357299302871]
[-12.112679938838198, -77.03574987921665]
[-12.113279957377017, -77.03575993750047]
[-12.113979972020715, -77.03578994471384]
[-12.114829938912223, -77.03577988643002]
[-12.11586996545823, -77.03582992639198]
[-12.11686996841658, -77.03580989364339]
[-12.117959951105505, -77.03581995192721]
[-12.118979944902932, -77.03582992639198]
[-12.120159949231962, -77.03583990085676]
[-12.121249973830416, -77.03583990085676]
[-12.122279942092618, -77.03585993360535]
[-12.123359950316768, -77.0361799546686]
[-12.124379944114196, -77.03585993360535]
[-12.124959971813936, -77.03587988253491]
[-12.126009972824718, -77.0358999152835]
[-12.126689954719822, -77.03590988974828]
[-12.126629940293085, -77.03629989970302]
[-12.12603993812857, -77.03668990965778]
[-12.125559948443225, -77.0369399418295]
[-12.124949955439632, -77.03694991629429]
[-12.124359953275118, -77.03695989075906]
[-12.1233299431034, -77.03697992350766]
[-12.12225995125354, -77.03695989075906]
[-12.121229941081822, -77.0370199051858]
[-12.120139958392897, -77.03708989407731]
[-12.119049954749201, -77.0370399379344]
[-12.117959951105505, -77.03704991239917]
[-12.117089951465417, -77.03704991239917]
[-12.116239942664393, -77.03714492127166]
[-12.116489974836114, -77.03705988686394]
[-12.115519937181617, -77.03705988686394]
[-12.114819964447435, -77.0368499201894]
[-12.114009937324568, -77.03681991297604]
[-12.11321994295028, -77.0370199051858]
[-12.113459764377113, -77.03681305310798]
[-12.1122499472053, -77.03700993072103]
[-12.111589956149274, -77.03676995683311]
[-12.110644959430509, -77.03706491600585]
[-12.109729969925127, -77.03754989292358]
[-12.110519964299414, -77.03837995279505]
[-12.11124994424695, -77.03764988902847]
[-12.112239972740525, -77.03843988340276]
[-12.112239972740525, -77.0379899428403]
[-12.113199952111202, -77.03802992451844]
[-12.114079968125594, -77.03805993173181]
[-12.114819964447435, -77.03807988066137]
[-12.115499946342553, -77.03809991340995]
[-12.116239942664393, -77.03810988787474]
[-12.117089951465417, -77.03809991340995]
[-12.117929943892136, -77.03809991340995]
[-12.118949937689564, -77.03809991340995]
[-12.12011996755382, -77.03810988787474]
[-12.121039965246354, -77.03811994615855]
[-12.121219966617048, -77.03811994615855]
[-12.121219966617048, -77.03791995394879]
[-12.122249976788765, -77.0379899428403]
[-12.1233299431034, -77.03800989176986]
[-12.123959968855587, -77.03800989176986]
[-12.1233299431034, -77.0389998783539]
[-12.123259954211889, -77.03905989278064]
[-12.122249976788765, -77.03903994385108]
[-12.121219966617048, -77.0390199111025]
[-12.12011996755382, -77.03900993663771]
[-12.119099973756406, -77.03900993663771]
[-12.117929943892136, -77.0389998783539]
[-12.117089951465417, -77.03897992942434]
[-12.116219951825315, -77.03895989667576]
[-12.115479955503474, -77.03894992221097]
[-12.114809948073145, -77.03894992221097]
[-12.114099958964673, -77.0389399477462]
[-12.11412996617804, -77.03990990158167]
[-12.113179961272138, -77.03917992163412]
[-12.112659947999134, -77.0397099093719]
[-12.112209965527157, -77.04014987546958]
[-12.111379947565212, -77.03929995048759]
[-12.110669958456725, -77.03999992322177]
[-12.109789942442347, -77.03907992552924]
[-12.109069978869087, -77.03977989826342]
[-12.10833995701202, -77.04047995481662]
[-12.109209956652123, -77.04139995250917]
[-12.109949952973963, -77.04069989595595]
[-12.110789945400683, -77.04155987922175]
[-12.111469969205316, -77.04086988095234]
[-12.11164997057601, -77.04244995351995]
[-12.111969949729726, -77.04212993245672]
[-12.11305997432818, -77.04103994976778]
[-12.113539964013512, -77.04053988542432]
[-12.114429954492692, -77.04143993418731]
[-12.115159976349759, -77.04072990316932]
[-12.114709951968265, -77.04036990042793]
[-12.114809948073145, -77.04021994818012]
[-12.115339977720438, -77.0395399243755]
[-12.11619996098625, -77.04008994486188]
[-12.117079977000628, -77.04007988657806]
[-12.117919969427362, -77.04007988657806]
[-12.118754953666944, -77.04019492819914]
[-12.12009997671474, -77.04010989379142]
[-12.12119997577797, -77.04013990100479]
[-12.121779961568194, -77.04014987546958]
[-12.122309949305986, -77.03974989105005]
[-12.122669952047374, -77.04025992985827]
[-12.121889974047377, -77.04077994313127]
[-12.12182995962064, -77.04081992480943]
[-12.12118995940368, -77.04079989206083]
[-12.12118995940368, -77.04066988874258]
[-12.121049939711142, -77.04079989206083]
[-12.120196824236599, -77.04140853780166]
[-12.120539942812428, -77.0416999408238]
[-12.12009997671474, -77.04168988254]
[-12.12009997671474, -77.04129995640427]
[-12.12008996034045, -77.04077994313127]
[-12.120077327818233, -77.04126786519546]
[-12.118909956011407, -77.04112988758885]
[-12.117919969427362, -77.04112988758885]
[-12.117079977000628, -77.04111991312406]
[-12.116179970147172, -77.04111991312406]
[-12.116169953772882, -77.04153993029219]
[-12.11553996993021, -77.04221995409681]
[-12.114829938912223, -77.04292990129578]
[-12.113909941219688, -77.04195994746031]
[-12.114099958964673, -77.04362995784899]
[-12.113759947062363, -77.04394989509319]
[-12.1133899698562, -77.04431995611839]
[-12.113249950163649, -77.04444987561762]
[-12.112659947999134, -77.04502990331736]
[-12.110899957879866, -77.0431698751837]
[-12.110559945977556, -77.04364990677854]
[-12.110439959033599, -77.04441995222328]
[-12.11057824027939, -77.04632232064257]
[-12.110919948718944, -77.04675992813276]
[-12.111219978943097, -77.04647988874767]
[-12.111949958890648, -77.04576994154871]
[-12.112569968268545, -77.04639992539137]
[-12.113259966537939, -77.04566994544383]
[-12.113259966537939, -77.04566994544383]
[-12.113259966537939, -77.04566994544383]
[-12.114009937324568, -77.04495991442583]
[-12.11472994280733, -77.04427989062121]
[-12.115449948290106, -77.04356994342226]
[-12.116159937398578, -77.04288991961762]
[-12.116859952042276, -77.04218994688344]
[-12.117069960626338, -77.04195994746031]
[-12.117069960626338, -77.04195994746031]
[-12.117929943892136, -77.0423199502017]
[-12.117929943892136, -77.0423199502017]
[-12.117929943892136, -77.04166993361044]
[-12.118899939637117, -77.04167990807522]
[-12.118894973359488, -77.04305491738162]
[-12.119489941801632, -77.04233989913125]
[-12.12008996034045, -77.04233989913125]
[-12.12117994302939, -77.04238993909321]
[-12.121169968564601, -77.04168988254]
[-12.122099940721924, -77.0416999408238]
[-12.121369960774373, -77.04258993130298]
[-12.12117994302939, -77.04238993909321]
[-12.120049978662308, -77.04321991514564]
[-12.120049978662308, -77.04321991514564]
[-12.120049978662308, -77.04321991514564]
[-12.120049978662308, -77.04321991514564]
[-12.119264971520408, -77.04380991731017]
[-12.118599951322466, -77.04413991283818]
[-12.118199966902935, -77.04356994342226]
[-12.117489977794463, -77.04282990519089]
[-12.116769972311687, -77.04353993620889]
[-12.116049966828925, -77.0442099017297]
[-12.115319944971858, -77.04491993274769]
[-12.114619972237676, -77.0456099310171]
[-12.114619972237676, -77.0456099310171]
[-12.113189977646428, -77.04703988369882]
[-12.112439964950283, -77.04775988918159]
[-12.11182997194669, -77.04711993087415]
[-12.11107995925056, -77.04787991803506]
[-12.110449975407889, -77.04721992697903]
[-12.109729969925127, -77.04791989971321]
[-12.110349937393494, -77.04851987634251]
[-12.109179949438754, -77.0484599457348]
[-12.109029955281429, -77.04860989798262]
[-12.108299975333878, -77.0493199290006]
[-12.108929959176535, -77.04997992005664]
[-12.109649964659312, -77.04926988903864]
[-12.109539952180128, -77.05061987836409]
[-12.110259957662905, -77.04989995670034]
[-12.110269974037195, -77.05137994934404]
[-12.110989937610455, -77.05066991832604]
[-12.111719959467521, -77.04996994559185]
[-12.110979963145681, -77.04919990014713]
[-12.111669961415075, -77.04849992741295]
[-12.11241997411122, -77.04926988903864]
[-12.113034954347192, -77.0485499254654]
[-12.11388995038061, -77.04778989639496]
[-12.114619972237676, -77.04708992366078]
[-12.115359968559517, -77.04637989264279]
[-12.11603995045462, -77.04568989437338]
[-12.116759955937397, -77.04497994717443]
[-12.117479961420173, -77.04426991615644]
[-12.118209941367724, -77.04505991053072]
[-12.11710994230448, -77.04615995150347]
[-12.118409975486998, -77.04525990274048]
[-12.11710994230448, -77.04615995150347]
[-12.116393820400853, -77.04458284107983]
[-12.11710994230448, -77.0460198899014]
[-12.11710994230448, -77.04615995150347]
[-12.117009946199602, -77.04669991370602]
[-12.116769972311687, -77.0464599398181]
[-12.11595994518882, -77.04699990202067]
[-12.116319947930208, -77.0473998864402]
[-12.115589967982658, -77.04809994299342]
[-12.11522996524127, -77.04772988196822]
